Minister,Row_ID,Column I,Column II,Column III
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,11,Incentivizing investors to launch new housing projects by providing lands at concessionary prices to housing construction companies,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,12,10. Management of Urban Solid Waste,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,13,11. Adopting measures to prevent the disposal of waste in an irresponsible manner,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,14,12. Formulating a programme to regulate all urban construction in terms of urban development plans,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,15,13. Ensure that all urban construction projects provide for vehicle parks and access facilities for disabled persons.,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,16,14. Preparation of National Physical Plans and Regional Physical Plans,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,17,15. Directing and regulating all construction activities to be based on national physical plans to ensure integrated urban development,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,18,16. Maintenance and regulation of condominium property,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,19,17. Public condominium reforms and transferring ownership of houses efficiently and speedily.,,Laws and Ordinance to be Implemented
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,20,18. Matters relating to reclamation and development of low lying areas,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,21,19. Providing necessary guidance for the development of underserved areas and marshy lands in urban areas based on a common plan,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,22,20. Establish standards and norms for government quarters and other buildings,"Departments, Statutory Institutions & Public Corporations",
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,23,21. Implement housing schemes and housing financial grants programmes to service housing needs of people including low income recipients and particular community groups,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,24,22. Provide guidance to rural communities on environmental friendly and cost effective techniques for housing construction,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,25,23. Provide mechanical engineering services to government institutions,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,26,"24. Regulation, registration, regularization and standardization of activities in the construction sector in line with relevant rules and regulations and standards",,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,27,25. Provide consultancy and regulatory services for the construction industries,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,28,26. Provide training on heavy construction equipment operation and maintenance,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,29,27. Develop basic infrastructure in remote rural areas using appropriate technology,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,30,28. Develop building material industry,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,31,29. Strengthen local construction personnel,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,32,30. Strengthen and safeguard local small and medium scale subcontractors,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,33,31. Engineering consultancy services and construction work,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,34,Duties & Functions,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,35,Prevention of marine pollution,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,36,Preparation and implementation of an action plan for the prevention of marine and marine related pollution,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,37,Coast Conservation and Protection,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,38,Implementing ocean cleanliness programmes for the prevention of damage caused to the coastal belt and sea bed by the disposal of waste,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,39,Creation of new villages and townships aimed at developing housing and infrastructure for landless employed in government and privately owned plantation companies,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,40,"Adopting necessary measures for the provision of basic facilities, livelihood generation and community development projects including other requirements for empowerment of plantation community economically, socially and culturally",,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,41,Development of basic infrastructure in rural estate sector,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,42,Establishing 'People-Centric Boards and People-Centric Centers' giving pride of place to estate sector related community leadership and community participation.,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,43,Implement a special programme to ensure primary education and healthcare for children in estate communities.,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,44,Duties & Functions,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,45,41. All other subjects that come under the purview of Institutions listed in Column II,,
MINISTER_OF_URBAN_DEVELOPMENT_AND_HOUSING_CONTD.,46,42. Supervision of all Institutions listed in Column II,,
